index,SeqExome_Cp_11p15,SeqExome_Cp_13q14,SeqExome_Cp_13q34,SeqExome_Cp_15q15,SeqExome_Cp_17p13,SeqExome_Cp_19q13,SeqExome_Cp_1q21,SeqExome_Cp_20q13,SeqExome_Cp_21q22,SeqExome_Cp_3q21,SeqExome_Cp_5q31,SeqExome_Cp_7q22,SeqExome_Cp_9q33,SeqExome_Cp_BIRCs,SeqExome_Cp_CDKN2C,SeqExome_Cp_CYLD,SeqExome_Cp_FAM46C,SeqExome_Cp_MYC,SeqExome_Cp_RB1,SeqExome_Cp_TP53,SeqExome_Cp_TRAF2,SeqExome_Cp_TRAF3,SeqExome_Cp_UTX,SeqExome_Cp_13q14_20percent,SeqExome_Cp_13q14_50percent,SeqExome_Cp_13q34_20percent,SeqExome_Cp_13q34_50percent,SeqExome_Cp_17p13_20percent,SeqExome_Cp_17p13_50percent,SeqExome_Cp_BIRCs_20percent,SeqExome_Cp_BIRCs_50percent,SeqExome_Cp_CDKN2C_20percent,SeqExome_Cp_CDKN2C_50percent,SeqExome_Cp_CYLD_20percent,SeqExome_Cp_CYLD_50percent,SeqExome_Cp_FAM46C_20percent,SeqExome_Cp_FAM46C_50percent,SeqExome_Cp_RB1_20percent,SeqExome_Cp_RB1_50percent,SeqExome_Cp_TP53_20percent,SeqExome_Cp_TP53_50percent,SeqExome_Cp_TRAF2_20percent,SeqExome_Cp_TRAF2_50percent,SeqExome_Cp_TRAF3_20percent,SeqExome_Cp_TRAF3_50percent,SeqExome_Cp_UTX_20percent,SeqExome_Cp_UTX_50percent,SeqExome_Cp_11p15_20percent,SeqExome_Cp_11p15_50percent,SeqExome_Cp_15q15_20percent,SeqExome_Cp_15q15_50percent,SeqExome_Cp_19q13_20percent,SeqExome_Cp_19q13_50percent,SeqExome_Cp_1q21_20percent,SeqExome_Cp_1q21_50percent,SeqExome_Cp_20q13_20percent,SeqExome_Cp_20q13_50percent,SeqExome_Cp_21q22_20percent,SeqExome_Cp_21q22_50percent,SeqExome_Cp_3q21_20percent,SeqExome_Cp_3q21_50percent,SeqExome_Cp_5q31_20percent,SeqExome_Cp_5q31_50percent,SeqExome_Cp_7q22_20percent,SeqExome_Cp_7q22_50percent,SeqExome_Cp_9q33_20percent,SeqExome_Cp_9q33_50percent,SeqExome_Cp_MYC_20percent,SeqExome_Cp_MYC_50percent,SeqExome_Cp_Hyperdiploid_Chr_Count,SeqExome_Cp_Hyperdiploid_Call,SeqWGS_Cp_11p15,SeqWGS_Cp_13q14,SeqWGS_Cp_13q34,SeqWGS_Cp_15q15,SeqWGS_Cp_17p13,SeqWGS_Cp_19q13,SeqWGS_Cp_1q21,SeqWGS_Cp_20q13,SeqWGS_Cp_21q22,SeqWGS_Cp_3q21,SeqWGS_Cp_5q31,SeqWGS_Cp_7q22,SeqWGS_Cp_9q33,SeqWGS_Cp_BIRCs,SeqWGS_Cp_CDKN2C,SeqWGS_Cp_CYLD,SeqWGS_Cp_FAM46C,SeqWGS_Cp_MYC,SeqWGS_Cp_RB1,SeqWGS_Cp_TP53,SeqWGS_Cp_TRAF2,SeqWGS_Cp_TRAF3,SeqWGS_Cp_UTX,SeqWGS_Cp_13q14_20percent,SeqWGS_Cp_13q14_50percent,SeqWGS_Cp_13q34_20percent,SeqWGS_Cp_13q34_50percent,SeqWGS_Cp_17p13_20percent,SeqWGS_Cp_17p13_50percent,SeqWGS_Cp_BIRCs_20percent,SeqWGS_Cp_BIRCs_50percent,SeqWGS_Cp_CDKN2C_20percent,SeqWGS_Cp_CDKN2C_50percent,SeqWGS_Cp_CYLD_20percent,SeqWGS_Cp_CYLD_50percent,SeqWGS_Cp_FAM46C_20percent,SeqWGS_Cp_FAM46C_50percent,SeqWGS_Cp_RB1_20percent,SeqWGS_Cp_RB1_50percent,SeqWGS_Cp_TP53_20percent,SeqWGS_Cp_TP53_50percent,SeqWGS_Cp_TRAF2_20percent,SeqWGS_Cp_TRAF2_50percent,SeqWGS_Cp_TRAF3_20percent,SeqWGS_Cp_TRAF3_50percent,SeqWGS_Cp_UTX_20percent,SeqWGS_Cp_UTX_50percent,SeqWGS_Cp_11p15_20percent,SeqWGS_Cp_11p15_50percent,SeqWGS_Cp_15q15_20percent,SeqWGS_Cp_15q15_50percent,SeqWGS_Cp_19q13_20percent,SeqWGS_Cp_19q13_50percent,SeqWGS_Cp_1q21_20percent,SeqWGS_Cp_1q21_50percent,SeqWGS_Cp_20q13_20percent,SeqWGS_Cp_20q13_50percent,SeqWGS_Cp_21q22_20percent,SeqWGS_Cp_21q22_50percent,SeqWGS_Cp_3q21_20percent,SeqWGS_Cp_3q21_50percent,SeqWGS_Cp_5q31_20percent,SeqWGS_Cp_5q31_50percent,SeqWGS_Cp_7q22_20percent,SeqWGS_Cp_7q22_50percent,SeqWGS_Cp_9q33_20percent,SeqWGS_Cp_9q33_50percent,SeqWGS_Cp_MYC_20percent,SeqWGS_Cp_MYC_50percent,SeqWGS_Cp_Hyperdiploid_Chr_Count,SeqWGS_Cp_Hyperdiploid_Call,RNASeq_CCND1_Call,RNASeq_CCND1_TPM,RNASeq_CCND2_Call,RNASeq_CCND2_TPM,RNASeq_CCND3_Call,RNASeq_CCND3_TPM,RNASeq_FGFR3_Call,RNASeq_FGFR3_TPM,RNASeq_MAFA_Call,RNASeq_MAFA_TPM,RNASeq_MAFB_Call,RNASeq_MAFB_TPM,RNASeq_MAF_Call,RNASeq_MAF_TPM,RNASeq_MYC_Call,RNASeq_MYC_TPM,RNASeq_WHSC1_Call,RNASeq_WHSC1_TPM
MMRF_1016,-0.015,-0.233,-0.27899999999999997,0.5529999999999999,0.413,0.5539999999999999,0.386,-0.5870000000000001,-0.025,0.535,0.536,0.043,0.512,0.018000000000000002,-0.38799999999999996,0.001,-0.023,-0.031,-0.233,0.413,0.509,-0.042,0.001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.012,-0.23600000000000002,-0.209,0.5670000000000001,0.455,0.575,0.457,-0.561,0.024,0.5720000000000001,0.58,0.057999999999999996,0.55,0.025,-0.35700000000000004,0.021,0.006,0.006,-0.23600000000000002,0.455,0.55,-0.013000000000000001,0.057,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.19765739385065886,203.49076579182534,0.014641288433382138,97.54668764636168,0.013177159590043924,36.06266680697899,0.09150805270863836,75.29704828244519,0.010248901903367497,3.452406730416055,0.013177159590043924,3.8815505542142517,0.048316251830161056,8.079129644304546,0.04758418740849195,58.69499323562713,0.13396778916544655,41.38069001220112
MMRF_1020,-0.015,-0.946,-0.9540000000000001,0.004,-0.005,0.02,0.732,0.386,0.161,0.006999999999999999,-0.015,0.013000000000000001,0.59,0.01,0.006,0.001,0.024,0.003,-0.945,-0.005,0.574,-0.5589999999999999,-0.02,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,-0.005,-0.9670000000000001,-0.973,-0.003,-0.016,-0.015,0.7390000000000001,0.39,0.17300000000000001,0.003,-0.016,-0.006,0.59,0.005,-0.001,-0.008,0.013000000000000001,0.003,-0.96,-0.016,0.568,-1.483,-0.009000000000000001,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.19765739385065886,203.49076579182534,0.014641288433382138,97.54668764636168,0.013177159590043924,36.06266680697899,0.09150805270863836,75.29704828244519,0.010248901903367497,3.452406730416055,0.013177159590043924,3.8815505542142517,0.048316251830161056,8.079129644304546,0.04758418740849195,58.69499323562713,0.13396778916544655,41.38069001220112
MMRF_1021,0.015,-0.963,-0.9570000000000001,-0.006999999999999999,0.003,0.564,0.586,0.001,-0.012,-0.001,-0.005,-0.013000000000000001,-0.002,-0.005,0.337,0.002,-0.467,0.015,-0.941,0.003,0.061,-0.461,-0.9259999999999999,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.009000000000000001,-0.932,-0.9890000000000001,0.0,-0.023,0.537,0.584,-0.018000000000000002,-0.022000000000000002,0.008,-0.004,-0.002,-0.009000000000000001,-0.008,0.32299999999999995,-0.012,-0.461,-0.009000000000000001,-0.932,-0.023,-0.009000000000000001,-0.486,-0.87,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.281864,0.0,22.1789,0.0,7.128539999999999,1.0,279.291,0.0,0.00898588,0.0,1.7364700000000002,0.0,0.666104,0.0,10.8832,1.0,138.141
MMRF_1024,0.18702190721649498,-0.43832388316151255,-0.36694673539518896,0.3349259020618558,-0.04314207474226802,0.29714400773195876,0.21078490120274906,-0.0208540592783505,0.11872766323024055,0.21239819587628872,0.2280018256013747,0.17852545103092796,0.3321000859106528,0.14674398625429552,-0.1406484106529212,-0.21738520189003446,-0.15928286082474263,0.061076567869415885,-0.4566183419243989,-0.045968749999999975,0.34081003006872823,-0.16522100515463928,-0.2069565077319589,0.5109536082474226,0.45489690721649484,0.424828178694158,0.38165807560137455,0.10352233676975944,0.08054123711340207,0.047465635738831606,0.030283505154639175,0.14239690721649484,0.10223367697594503,0.2345360824742268,0.1986683848797251,0.21284364261168384,0.1608676975945017,0.5109536082474226,0.4497422680412371,0.10481099656357387,0.0818298969072165,0.017719072164948453,0.007731958762886598,0.18062714776632305,0.1593642611683849,0.23324742268041238,0.1999570446735395,0.36426116838487976,0.33784364261168387,0.5139604810996564,0.4875429553264605,0.5268470790378007,0.49806701030927836,0.3795103092783505,0.33612542955326463,0.04896907216494845,0.03865979381443299,0.24484536082474226,0.22422680412371135,0.4332044673539519,0.41065292096219935,0.4557560137457045,0.42912371134020616,0.3638316151202749,0.3290378006872852,0.5732388316151202,0.541881443298969,0.16494845360824742,0.13788659793814434,3.5249140893470785,0.5055841924398626,0.20643187014174663,-0.4338111568358486,-0.3675058299039779,0.3532872656607227,-0.04910253772290813,0.29640957933241857,0.22583790580704144,-0.01140066300868769,0.13378943758573375,0.2342371970736166,0.2534599908550525,0.20149554183813448,0.35149714220393236,0.18982373113854561,-0.1138664148351648,-0.2289179240969363,-0.14427343392775488,0.0650824150596878,-0.4440106310013716,-0.048914491758241786,0.3538992673992676,-0.21903692272519446,-0.26027438742487347,0.5082304526748971,0.4615912208504801,0.4272976680384088,0.39026063100137176,0.11591220850480109,0.08367626886145405,0.03909465020576132,0.027434842249657063,0.144718792866941,0.10356652949245541,0.24348422496570646,0.20896204846822133,0.20713305898491083,0.15775034293552812,0.49382716049382713,0.4513031550068587,0.11454046639231824,0.08367626886145405,0.004801097393689987,0.0006858710562414266,0.19135802469135801,0.1646090534979424,0.3401920438957476,0.3045267489711934,0.3662551440329218,0.34910836762688613,0.5185185185185185,0.5009144947416553,0.5363511659807956,0.5077732053040696,0.3895747599451303,0.34910836762688613,0.051668952903520804,0.044352994970278926,0.2503429355281207,0.23593964334705075,0.4410150891632373,0.4227251943301326,0.46296296296296297,0.44878829446730684,0.3731138545953361,0.3497942386831276,0.5850480109739369,0.5569272976680384,0.1579789666209419,0.12322816643804298,3.5852766346593503,0.5212620027434842,0.0,8.242420000000001,0.0,16.49856,0.0,9.387120000000001,0.0,0.08436065333333333,0.0,0.0,0.0,0.9245663333333335,0.0,0.6946786666666668,0.0,38.08636666666666,0.0,5.317376666666666
MMRF_1029,0.528,-0.81,-0.802,0.02,-0.025,0.655,-0.016,-0.035,0.18,0.44,-0.040999999999999995,-0.036000000000000004,0.409,0.517,-0.037000000000000005,-0.993,-0.045,-0.048,-1.181,-0.025,0.375,-0.99,-0.048,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.5529999999999999,-0.965,-0.784,-0.006999999999999999,-0.025,0.6920000000000001,-0.033,-0.033,0.198,0.466,-0.027000000000000003,-0.034,0.41100000000000003,0.539,-0.028999999999999998,-0.961,-0.028999999999999998,-0.018000000000000002,-0.805,-0.025,0.396,-0.9740000000000001,0.008,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,7.6392,0.0,44.023,0.0,8.68085,0.0,0.0111074,0.0,0.0182265,0.0,1.03189,0.0,0.9038209999999999,0.0,22.729,0.0,7.3392
MMRF_1030,0.5589999999999999,-0.019,0.004,0.545,-0.047,0.518,-0.021,-0.040999999999999995,0.545,-0.001,0.536,-0.028999999999999998,0.5579999999999999,0.54,-0.024,-0.449,-0.43,-0.01,-0.019,-0.047,0.519,-0.059000000000000004,-0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.585,0.003,0.015,0.57,-0.006,0.555,-0.005,-0.013000000000000001,0.5720000000000001,0.003,0.574,-0.023,0.575,0.57,-0.146,-0.439,-0.44299999999999995,0.002,0.003,-0.006,0.555,-0.002,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,29.057,0.0,0.206319,0.0,6.18904,0.0,0.00275607,0.0,0.0,0.0,0.393084,0.0,2.05133,0.0,8.12324,0.0,3.81
MMRF_1031,0.485,-0.7929999999999999,-0.7709999999999999,0.534,0.006,0.546,0.522,-0.043,-0.033,0.494,0.478,0.555,0.919,0.49200000000000005,-2.362,-0.061,-0.043,-0.016,-0.7929999999999999,0.006,0.9079999999999999,-0.018000000000000002,-0.066,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.51,-0.8390000000000001,-0.848,0.508,-0.017,0.547,0.532,-0.038,-0.027999999999999997,0.51,0.496,0.49200000000000005,0.94,0.489,-0.888,-0.017,-0.257,0.028999999999999998,-0.8390000000000001,-0.017,0.94,-0.042,0.19399999999999998,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,10.6868,0.0,52.7266,0.0,5.55865,0.0,0.209925,0.0,0.027006,0.0,0.178579,0.0,2.10656,0.0,28.3035,0.0,9.70964
MMRF_1032,0.018000000000000002,-0.004,-0.006999999999999999,0.532,-0.021,0.935,-0.02,-0.037000000000000005,-0.018000000000000002,-0.01,0.528,-0.018000000000000002,-0.01,0.597,-0.048,-0.039,-0.043,0.012,-0.022000000000000002,-0.021,-0.03,-0.003,-0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.013999999999999999,-0.21,-0.004,0.561,0.032,0.9790000000000001,0.004,0.027000000000000003,0.027000000000000003,0.013000000000000001,0.555,-0.036000000000000004,0.037000000000000005,0.563,-0.016,0.015,-0.19699999999999998,0.03,-0.015,0.032,0.032,0.013999999999999999,0.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.2126,0.0,0.42233999999999994,0.0,8.61633,0.0,0.00565236,0.0,0.0,0.0,2.59749,0.0,2.36096,0.0,16.2081,0.0,6.99693
MMRF_1033,0.18702190721649498,-0.43832388316151255,-0.36694673539518896,0.3349259020618558,-0.04314207474226802,0.29714400773195876,0.21078490120274906,-0.0208540592783505,0.11872766323024055,0.21239819587628872,0.2280018256013747,0.17852545103092796,0.3321000859106528,0.14674398625429552,-0.1406484106529212,-0.21738520189003446,-0.15928286082474263,0.061076567869415885,-0.4566183419243989,-0.045968749999999975,0.34081003006872823,-0.16522100515463928,-0.2069565077319589,0.5109536082474226,0.45489690721649484,0.424828178694158,0.38165807560137455,0.10352233676975944,0.08054123711340207,0.047465635738831606,0.030283505154639175,0.14239690721649484,0.10223367697594503,0.2345360824742268,0.1986683848797251,0.21284364261168384,0.1608676975945017,0.5109536082474226,0.4497422680412371,0.10481099656357387,0.0818298969072165,0.017719072164948453,0.007731958762886598,0.18062714776632305,0.1593642611683849,0.23324742268041238,0.1999570446735395,0.36426116838487976,0.33784364261168387,0.5139604810996564,0.4875429553264605,0.5268470790378007,0.49806701030927836,0.3795103092783505,0.33612542955326463,0.04896907216494845,0.03865979381443299,0.24484536082474226,0.22422680412371135,0.4332044673539519,0.41065292096219935,0.4557560137457045,0.42912371134020616,0.3638316151202749,0.3290378006872852,0.5732388316151202,0.541881443298969,0.16494845360824742,0.13788659793814434,3.5249140893470785,0.5055841924398626,0.522,0.025,-0.002,0.512,-0.053,0.466,0.015,-0.012,0.518,-0.006,0.529,0.006,0.504,0.514,-0.001,-0.022000000000000002,0.015,0.013999999999999999,0.008,-0.053,0.504,-0.026000000000000002,0.09699999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,24.9054,0.0,0.142899,0.0,1.90247,0.0,0.172503,0.0,0.0,0.0,0.535654,0.0,3.35815,0.0,32.7764,0.0,4.23228
MMRF_1037,0.591,-0.012,-0.012,0.8190000000000001,-0.06,0.937,-0.047,-0.018000000000000002,0.028999999999999998,0.425,0.537,-0.021,0.561,0.845,-0.027999999999999997,-0.039,-0.053,-0.036000000000000004,-0.012,-0.06,0.5379999999999999,-0.046,-1.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.644,0.040999999999999995,0.066,0.857,-0.025,0.809,-0.01,0.019,0.054000000000000006,0.47700000000000004,0.569,0.04,0.602,0.752,0.013999999999999999,0.013000000000000001,-0.345,-0.001,0.040999999999999995,-0.025,0.562,-0.009000000000000001,-0.9309999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,75.3546,0.0,0.030997900000000005,0.0,2.54522,0.0,0.211684,0.0,0.0,0.0,0.742537,0.0,1.27325,0.0,29.6977,0.0,5.7909
